23000 21000 19000 12000
23166 21125 19080 12040
23330 21250 19160 12080
23490 21375 19240 12120
23660 21500 19320 12160
23830 21625 19400 12240
23990 21750 19480 12280
24160 21875 19560 12320
24328 22000 19660 12400
24550 22125 19760 12440
24760 22310 19860 12480
25000 22500 19996 12520
25310 22700 20156 12600
25620 22900 20322 12680
25950 23100 20488 12760
26300 23300 20645 12840
26670 23510 20820 12920
26990 23710 20986 13000
27300 23920 21152 13080
27650 24150 21318 13160
27980 24380 21480 13240
28330 24610 21664 13320
28690 24830 21884 13420
29000 25000 22040 13520
28700 24800 21800 13420
28400 24600 21600 13320
28100 24400 21400 13220
27900 24200 21200 13120
27700 24050 21000 13020
27550 23900 20850 12940
27430 23750 20700 12860
27330 23600 20550 12780
27250 23500 20450 12700
27200 23400 20350 12620
27160 23300 20250 12570
27120 23200 20150 12520
27120 23200 20150 12520
