3500 2500 2000 1000
3580 2560 2040 1015
3660 2620 2080 1030
3740 2680 2120 1045
3820 2740 2160 1060         
3900 2800 2200 1075
3990 2860 2250 1090
4080 2930 2300 1115
4170 3000 2350 1140 
4260 3070 2400 1165
4350 3140 2460 1200
4440 3220 2520 1235
4550 3300 2600 1260
4700 3410 2680 1305 
4850 3520 2760 1350
5000 3630 2840 1395
5150 3740 2920 1440
5300 3850 3000 1485
5450 3960 3080 1530
5630 4100 3100 1530 
5810 4240 3200 1570 
5990 4380 3300 1620
6170 4520 3400 1665
6350 4600 3500 1715
6550 4800 3600 1765
6400 4650 3450 1740 
6250 4500 3300 1715
6100 4350 3150 1690
6000 4250 3050 1665
5900 4150 2950 1640
5800 4070 2870 1615
5720 3990 2790 1590
5640 3910 2710 1565
5590 3830 2630 1540
5540 3750 2580 1520
5500 3700 2530 1500
5500 3700 2530 1500
